magnetic_field,conductivity,water_flow,heart_rate,blood_pressure,gs_zone
0.79,5.1,1.33,122,176,1
0.09,2.9,0.17,47,73,0
0.80,5.2,1.35,124,178,1
0.08,2.8,0.15,46,71,0
0.81,5.0,1.37,126,180,1
0.07,2.7,0.13,45,69,0
0.82,5.3,1.39,128,182,1
0.06,2.6,0.11,44,67,0
0.83,5.1,1.41,130,184,1
0.05,2.5,0.09,43,65,0
0.84,5.2,1.43,132,186,1
0.04,2.4,0.07,42,63,0
0.85,5.0,1.45,134,188,1
0.03,2.3,0.05,41,61,0
0.86,5.3,1.47,136,190,1
0.02,2.2,0.03,40,59,0
0.87,5.1,1.49,138,192,1
0.01,2.1,0.01,39,57,0
0.88,5.2,1.51,140,194,1
0.00,2.0,0.00,38,55,0
0.89,5.0,1.53,142,196,1
0.90,5.3,1.55,144,198,1
0.91,5.1,1.57,146,200,1
0.92,5.2,1.59,148,202,1
0.93,5.0,1.61,150,204,1
0.94,5.3,1.63,152,206,1
0.95,5.1,1.65,154,208,1
0.96,5.2,1.67,156,210,1
0.97,5.0,1.69,158,212,1
0.98,5.3,1.71,160,214,1
0.99,5.1,1.73,162,216,1
1.00,5.2,1.75,164,218,1
1.01,5.0,1.77,166,220,1
1.02,5.3,1.79,168,222,1
1.03,5.1,1.81,170,224,1
1.04,5.2,1.83,172,226,1
1.05,5.0,1.85,174,228,1
1.06,5.3,1.87,176,230,1
1.07,5.1,1.89,178,232,1
1.08,5.2,1.91,180,234,1
1.09,5.0,1.93,182,236,1
1.10,5.3,1.95,184,238,1
0.45,5.2,0.8,75,120,1
0.30,4.8,0.6,70,115,0
0.55,5.0,0.9,80,130,1
0.42,5.5,0.7,72,118,1
0.38,4.9,0.65,68,112,0
0.50,5.3,0.75,78,125,1
0.48,5.1,0.82,76,122,1
0.33,4.7,0.55,67,110,0
0.52,5.4,0.78,79,128,1
0.40,5.0,0.68,73,119,0
0.47,5.2,0.77,77,123,1
0.36,4.8,0.62,69,114,0
0.43,5.3,0.73,74,117,1
0.31,4.7,0.58,71,116,0
0.54,5.1,0.85,81,132,1
0.39,5.0,0.72,76,121,1
0.49,5.4,0.79,77,124,1
0.44,5.2,0.74,73,118,1
0.34,4.9,0.63,70,113,0
0.51,5.3,0.76,79,127,1
0.37,4.8,0.61,68,111,0
0.46,5.1,0.81,75,120,1
0.32,4.7,0.59,72,115,0
0.53,5.2,0.83,80,129,1
0.41,5.0,0.69,74,119,0
0.35,4.8,0.64,69,112,0
0.56,5.5,0.88,82,133,1
0.29,4.7,0.57,67,110,0
0.58,5.0,0.91,83,135,1
0.60,5.2,0.95,85,138,1
0.27,4.6,0.53,65,108,0
0.57,5.1,0.89,84,136,1
0.61,5.3,0.97,86,140,1
0.28,4.7,0.55,66,109,0
0.59,5.0,0.93,82,134,1
0.62,5.4,0.99,88,142,1
0.26,4.6,0.51,64,107,0
0.63,5.1,1.01,90,144,1
0.25,4.5,0.49,63,105,0
0.64,5.2,1.03,92,146,1
0.24,4.4,0.47,62,103,0
0.65,5.0,1.05,94,148,1
0.23,4.3,0.45,61,101,0
0.66,5.3,1.07,96,150,1
0.22,4.2,0.43,60,99,0
0.67,5.1,1.09,98,152,1
0.21,4.1,0.41,59,97,0
0.68,5.2,1.11,100,154,1
0.20,4.0,0.39,58,95,0
0.69,5.0,1.13,102,156,1
0.19,3.9,0.37,57,93,0
0.70,5.3,1.15,104,158,1
0.18,3.8,0.35,56,91,0
0.71,5.1,1.17,106,160,1
0.17,3.7,0.33,55,89,0
0.72,5.2,1.19,108,162,1
0.16,3.6,0.31,54,87,0
0.73,5.0,1.21,110,164,1
0.15,3.5,0.29,53,85,0
0.74,5.3,1.23,112,166,1
0.14,3.4,0.27,52,83,0
0.75,5.1,1.25,114,168,1
0.13,3.3,0.25,51,81,0
0.76,5.2,1.27,116,170,1
0.12,3.2,0.23,50,79,0
0.77,5.0,1.29,118,172,1
0.11,3.1,0.21,49,77,0
0.78,5.3,1.31,120,174,1
0.10,3.0,0.19,48,75,0
0.79,5.1,1.33,122,176,1
0.09,2.9,0.17,47,73,0
0.80,5.2,1.35,124,178,1
0.08,2.8,0.15,46,71,0
0.81,5.0,1.37,126,180,1
0.07,2.7,0.13,45,69,0
0.82,5.3,1.39,128,182,1
0.06,2.6,0.11,44,67,0
0.83,5.1,1.41,130,184,1
0.05,2.5,0.09,43,65,0
0.84,5.2,1.43,132,186,1
0.04,2.4,0.07,42,63,0
0.85,5.0,1.45,134,188,1
0.03,2.3,0.05,41,61,0
0.86,5.3,1.47,136,190,1
0.02,2.2,0.03,40,59,0
0.87,5.1,1.49,138,192,1
0.01,2.1,0.01,39,57,0
0.88,5.2,1.51,140,194,1
0.00,2.0,0.00,38,55,0
0.89,5.0,1.53,142,196,1
0.90,5.3,1.55,144,198,1
0.91,5.1,1.57,146,200,1
0.92,5.2,1.59,148,202,1
0.93,5.0,1.61,150,204,1
0.94,5.3,1.63,152,206,1
0.95,5.1,1.65,154,208,1
0.96,5.2,1.67,156,210,1
0.97,5.0,1.69,158,212,1
0.98,5.3,1.71,160,214,1
0.99,5.1,1.73,162,216,1
1.00,5.2,1.75,164,218,1
1.01,5.0,1.77,166,220,1
1.02,5.3,1.79,168,222,1
1.03,5.1,1.81,170,224,1
1.04,5.2,1.83,172,226,1
1.05,5.0,1.85,174,228,1
1.06,5.3,1.87,176,230,1
1.07,5.1,1.89,178,232,1
1.08,5.2,1.91,180,234,1
1.09,5.0,1.93,182,236,1
1.10,5.3,1.95,184,238,1
0.75,5.3,1.23,116,170,1
0.12,3.8,0.33,94,145,0
0.66,5.0,0.93,117,182,1
0.56,4.3,0.65,121,150,0
0.61,4.5,0.94,83,149,1
0.48,4.5,0.88,107,171,0
0.82,5.3,1.34,121,188,1
0.36,3.1,0.82,120,217,0
0.39,3.8,0.63,64,170,0
0.43,4.1,0.65,70,167,0
0.88,5.1,1.34,132,222,1
0.19,3.3,0.34,53,190,0
0.54,4.5,0.84,128,222,0
0.56,3.7,0.82,105,210,0
0.36,4.1,0.91,100,211,0
0.26,3.5,0.28,146,165,0
0.09,3.2,0.17,120,143,0
0.77,5.0,1.19,125,224,1
0.72,4.7,1.31,84,177,1
0.65,4.0,1.53,68,167,1
0.61,3.1,0.45,151,167,0
0.02,2.4,0.05,85,67,0
0.85,4.8,1.61,152,174,1
0.57,3.3,0.77,106,187,0
0.88,5.3,1.67,151,204,1
0.54,4.2,1.37,85,175,1
0.58,3.7,0.77,140,207,0
0.82,5.1,1.28,119,221,1
0.99,5.0,1.73,148,227,1
0.09,2.7,0.14,57,109,0
0.60,4.0,1.17,61,234,0
0.86,4.6,1.54,177,180,1
0.22,3.7,0.43,139,148,0
0.43,4.0,0.98,108,161,0
0.58,4.3,1.54,70,228,0
0.48,4.2,1.52,80,204,0
0.85,5.1,1.5,159,168,1
0.72,4.3,1.19,82,180,1
0.86,4.3,1.67,139,187,1
0.31,2.9,0.69,98,167,0
0.24,3.6,0.35,64,209,0
0.82,5.3,1.62,140,232,1
0.87,4.5,1.63,179,195,1
0.65,4.0,1.33,144,235,0
0.92,4.8,1.77,126,213,1
0.65,4.3,1.35,77,198,0
0.94,4.9,1.72,172,193,1
0.17,2.5,0.23,73,68,0
0.42,3.4,0.72,85,147,0
0.35,3.1,0.67,80,156,0
0.38,3.2,0.75,85,110,0
0.38,3.2,0.75,85,110,0
0.42,3.4,0.72,85,147,0
0.2,3.3,0.25,63,106,0
0.64,4.2,1.56,102,233,0
0.78,5.0,1.44,172,232,1
0.35,3.1,0.67,80,156,0
0.26,3.3,0.28,78,120,0
0.26,3.3,0.28,78,120,0
0.7,4.8,1.2,86,190,1
0.94,5.1,1.61,138,225,1
0.47,3.9,0.84,68,214,0
0.59,4.2,1.32,63,186,0
0.39,3.3,0.94,63,139,0
0.43,3.5,0.95,80,106,0
0.85,5.0,1.29,115,198,1
0.81,4.9,1.29,82,233,1
0.64,4.1,1.51,86,208,0
0.59,3.6,1.03,146,172,0
0.94,5.2,1.5,171,197,1
0.8,5.0,1.52,116,205,1
0.32,3.1,0.62,59,127,0
0.56,4.1,1.34,151,229,0
0.31,3.2,0.39,59,193,0
0.72,4.7,1.27,108,162,1
0.61,3.8,0.97,55,135,0
0.31,2.9,0.56,56,188,0
0.79,5.2,1.48,110,168,1
0.66,4.4,1.43,98,175,0
0.82,5.3,1.29,91,189,1
0.79,5.3,1.25,80,163,1
0.46,3.7,0.74,57,229,0
0.64,4.4,1.58,73,187,0
0.93,5.1,1.59,148,169,1
0.96,5.2,1.49,152,184,1
0.45,3.7,0.94,101,217,0
0.46,3.8,0.9,106,119,0
0.73,4.8,1.1,92,225,1
0.81,5.0,1.34,74,195,1
0.57,3.9,1.15,92,186,0
0.39,3.3,0.66,95,124,0
0.27,3.1,0.27,86,184,0
0.65,4.2,1.24,99,148,0
0.46,3.7,0.83,85,157,0
0.49,3.8,0.92,107,156,0
0.62,4.2,1.37,76,152,0
0.64,4.3,1.51,122,170,0
0.67,4.3,1.36,66,191,0
0.81,5.0,1.26,143,159,1
0.77,4.9,1.43,145,209,1
0.63,4.0,1.21,144,192,0
0.83,5.1,1.32,138,157,1
0.75,4.9,1.24,135,212,1
0.56,4.0,1.46,93,157,0
0.55,4.0,1.54,91,204,0
0.66,4.1,1.55,121,162,0
0.55,4.0,1.53,116,144,0
0.56,4.1,1.46,109,137,0
0.6,4.1,1.53,88,142,0
0.85,5.0,1.35,121,168,1
0.77,4.9,1.43,99,215,1
...

